T/K	    P/Pa	η/mPa·s
300.11	25000	48.73
300.11	839000	49.65
300.12	4823000	53.24
300.12	9810000	58.37
300.13	19819000	69.18
300.12	29860000	81.03
300.12	39886000	94.35
289.89	181000	80.78
289.94	4824000	88.09
295.07	317000	64.31
295.09	4819000	69.57
295.1	9819000	75.97
295.1	19375000	89.09
305.03	150000	39.43
305.04	4820000	42.77
305.06	9813000	46.85
305.08	19822000	55.39
305.1	29825000	64.8
305.1	39849000	75.62
305.09	49881000	87.16
309.97	446000	31.64
310	4788000	34.03
310.02	9777000	37.2
310.03	19788000	44.05
310.04	29801000	51.6
310.05	39811000	60.01
310.06	49841000	69.26
310.06	49888000	69.29
310.06	59913000	79.6
310.06	69950000	91.1
320.05	313000	22.69
320.07	4806000	24.29
320.08	9798000	26.28
320.08	19810000	30.44
320.09	29826000	34.93
320.09	39856000	40.28
320.1	49892000	46.45
320.1	59935000	53.08
320.1	69999000	60.44
320.1	80053000	68.41
320.11	90112000	77.19
320.1	100180000	86.85
320.1	110255000	97.3
330.11	344000	15.87
330.1	4805000	17.04
330.1	9814000	18.4
330.12	19817000	21.3
330.14	29836000	24.34
330.17	39836000	27.62
330.19	49849000	31.33
330.2	59876000	35.36
330.2	70179000	40.23
330.21	79996000	45.58
330.22	90052000	51.35
330.23	100117000	57.48
330.23	110184000	64.23
330.23	120265000	71.72
330.24	130340000	79.87
330.23	137405000	86.05
330.21	396000	16.16
340.06	1367000	11.72
340.08	4748000	12.31
340.1	9759000	13.25
340.1	19772000	15.3
340.11	29782000	17.5
340.12	39806000	19.94
340.13	49829000	22.61
340.13	59878000	25.48
340.14	69918000	28.55
340.14	79978000	31.96
340.14	90031000	35.65
340.15	100102000	39.59
340.15	110176000	44.38
340.16	120240000	49.61
340.16	130311000	55.47
340.16	137153000	59.4
340.12	2365000	11.85
350.16	9421000	10.56
350.17	19732000	11.94
350.18	29736000	13.43
350.18	39750000	15
350.19	49781000	16.77
350.2	59825000	18.69
350.2	69874000	20.82
350.2	79934000	23.08
350.2	89999000	25.68
350.2	100059000	28.53
350.2	110139000	31.73
350.21	120220000	35.22
350.2	130234000	39.32
350.2	137274000	42.54
350.18	333000	9.4
359.99	220000	7.79
360.02	5114000	8.26
360.03	10114000	8.76
360.04	20125000	9.88
360.05	30135000	11.07
360.06	40142000	12.37
360.06	50170000	13.78
360.08	60216000	15.32
360.08	70268000	16.99
360.09	80317000	18.8
360.1	90374000	20.77
360.1	100429000	22.89
360.1	110503000	25.48
360.11	120584000	28.184
360.12	130664000	31.076
360.12	137703000	33.22
369.83	123000	6.37
369.89	5015000	6.77
369.93	10012000	7.16
369.97	20023000	8.05
370	30029000	9
370.02	40055000	10.02
370.04	50084000	11.13
370.04	60120000	12.3
370.06	70168000	13.55
370.07	80227000	14.87
370.08	90283000	16.34
370.08	100332000	17.92
370.08	110402000	19.677
370.09	120476000	21.591
370.1	130555000	23.703
370.1	137602000	25.454
379.98	151000	5.306
379.99	5018000	5.61
379.99	10024000	5.94
380	20014000	6.65
380.02	30030000	7.41
380.01	40047000	8.21
380.02	50061000	9.09
380.03	60116000	9.99
380.03	70169000	10.99
380.03	80220000	12.04
380.05	90285000	13.21
380.05	100335000	14.44
380.06	110410000	15.803
380.07	120483000	17.242
380.07	130567000	18.789
380.08	137599000	19.899
440.03	40107000	3.081
440.03	50129000	3.454
440.03	60172000	3.85
440.02	70227000	4.24
440.02	80274000	4.64
440.01	90335000	5.04
440.02	100384000	5.45
440.02	110468000	5.86
440.02	120548000	6.25
440.02	130625000	6.644
440.03	137675000	6.915
450.12	50112000	3.06
450.13	60151000	3.398
450.12	70204000	3.751
450.12	80262000	4.13
450.11	90320000	4.49
450.11	100380000	4.84
450.11	110450000	5.17
450.11	120533000	5.48
450.11	130613000	5.8
450.12	137677000	6.03
