T [K]	p [Pa]	eta [mPa s]
278.55	95900.8	368.2428
278.624	524574.1	362.4948
278.627	1016833.1	367.5435
278.626	2015151.8	378.0786
278.627	3011252.4	388.8358
288.427	95755.9	182.1859
288.462	493052.3	179.6882
288.469	990474.9	182.0224
288.471	2001836	187.005
288.471	2997718.8	192.0507
298.677	95578	96.7041
298.736	504734.1	95.0028
298.727	991822.6	96.2092
298.732	1999737.1	98.6702
298.729	3002244	101.2304
313.785	96291.1	43.5011
313.69	472981.1	43.6352
313.705	1084334.8	44.216
313.698	2011493.2	45.201
313.698	2811128.7	46.0357
323.656	97489.9	28.1349
323.487	545364.7	28.473
323.492	980861.4	28.7291
323.522	1767469.6	29.1835
323.522	2996703.7	29.9406
