T/K	    P/Pa	η/mPa·s
350.03	19828000	6.74
350.03	29842000	7.603
350.04	39859000	8.632
350.04	49893000	9.649
350.04	59928000	10.78
350.05	69986000	12
350.05	80043000	13.32
350.05	90090000	14.74
350.06	100160000	16.24
350.06	110223000	17.85
350.06	120297000	19.55
360.04	154000	4.156
360.05	9822000	4.756
360.05	19817000	5.347
360.06	29820000	6.02
360.07	39838000	6.727
360.07	49865000	7.475
360.07	59911000	8.306
360.07	69946000	9.205
360.07	79989000	10.19
360.07	90042000	11.26
360.08	100115000	12.4
360.08	110191000	13.59
360.09	120245000	14.86
360.08	130316000	16.23
360.08	137352000	17.27
369.98	131000	3.629
369.98	9798000	4.102
369.99	19800000	4.623
370	29803000	5.165
370	39827000	5.702
370	49861000	6.342
370.01	59906000	6.967
370.01	69949000	7.612
370.02	79999000	8.29
370.02	90058000	9.037
370.03	100140000	9.862
370.04	110197000	10.76
370.04	120266000	11.7
370.04	130336000	12.7
370.04	137395000	13.46
380.01	139000	2.896
380.02	9816000	3.278
380.02	19814000	3.691
380.02	29814000	4.124
380.03	39838000	4.594
380.03	49874000	5.067
380.04	59913000	5.558
380.03	69958000	6.088
380.04	79990000	6.657
380.04	90044000	7.242
380.05	100123000	7.846
380.05	110186000	8.507
380	120265000	9.148
379.97	130367000	9.95
389.95	142000	2.494
389.97	9812000	2.835
389.97	19818000	3.162
389.98	29821000	3.532
389.99	39842000	3.926
390	49876000	4.353
390.01	59915000	4.812
390	69967000	5.239
390.02	90075000	6.168
390.02	100138000	6.726
390.03	110205000	7.228
390.03	120273000	7.786
390.03	130341000	8.35
390.04	137389000	8.797
390.01	70073000	5.257
390	19872000	3.171
390.01	9864000	2.799
399.93	151000	2.136
399.93	9831000	2.39
399.92	19832000	2.699
399.93	29832000	3.034
399.93	39851000	3.37
399.94	49882000	3.732
399.95	59932000	4.113
399.94	69965000	4.471
399.94	80016000	4.857
399.94	90074000	5.315
399.95	100134000	5.738
399.96	110208000	6.235
399.96	120267000	6.687
399.97	130345000	7.212
399.97	137390000	7.585
419.97	131000	1.698
419.96	9807000	1.903
419.96	19810000	2.116
419.96	29807000	2.367
419.97	39831000	2.594
419.96	49859000	2.838
419.95	59908000	3.102
419.95	69950000	3.354
419.96	79988000	3.616
419.96	90057000	3.881
419.96	100121000	4.164
419.98	110197000	4.459
419.98	120262000	4.773
419.98	130326000	5.062
419.98	137362000	5.296
430.04	172000	1.467
430.02	9821000	1.674
430.03	19810000	1.88
430.03	29819000	2.111
430.04	39839000	2.341
430.03	49850000	2.595
430.04	59890000	2.694
430.03	69936000	2.92
430.02	79987000	3.143
430.03	90042000	3.448
430.04	100109000	3.674
430.04	110163000	3.987
430.05	120225000	4.304
430.06	130297000	4.605
430.07	137350000	4.823
410.03	144000	1.839
410.03	9822000	2.101
410	19822000	2.369
410	39849000	2.95
410	49872000	3.259
410	59914000	3.601
410.01	69960000	3.987
410.01	80008000	4.326
410.02	90064000	4.681
410.02	100132000	5.036
410.02	110200000	5.444
410.01	120267000	5.802
410.01	130324000	6.275
410.03	137369000	6.653
310.02	111000	16.65
310.02	9781000	19.43
310.02	19790000	22.36
310	29803000	25.75
309.99	39826000	29.57
310.02	49838000	33.69
310.02	59889000	38.56
310.03	69928000	44.05
310.03	79984000	50.18
310.04	90024000	56.75
310.04	100092000	64.09
310.04	110149000	72.22
310.01	120246000	81.36
309.97	130335000	91
309.96	137408000	98.51
300.03	120000	24.33
300.04	9797000	28.53
300.04	19791000	33.22
300.05	29795000	38.41
300.04	39803000	44.84
300.04	49837000	52.04
300.03	59890000	60.44
300.03	69933000	69.05
300.03	79980000	78.8
300.02	90042000	89.67
305.03	117000	20.39
305.03	9797000	23.63
305.02	19798000	27.36
305.03	29802000	31.49
305.03	39827000	36.28
305.03	49849000	42.01
305.03	59901000	48.29
305.03	69942000	55.22
305.03	79982000	62.73
305.02	90041000	71.1
305.02	100117000	80.39
305.03	110175000	90.42
340.05	129000	6.58
340.03	9808000	7.56
340.02	19809000	8.7
340.01	29813000	9.97
340.01	39830000	11.31
340.01	49873000	12.76
340.01	59921000	14.32
340.01	69965000	16
340.02	80018000	17.83
340.02	90083000	19.81
340.02	100138000	21.92
340.01	110210000	24.23
340.01	120288000	26.55
340.02	130348000	29.16
340.01	137399000	31.21
325.01	125000	10.49
324.97	9798000	12.05
324.97	19792000	13.9
324.96	29794000	15.9
324.96	39817000	18.05
324.96	49841000	20.39
324.97	59886000	22.98
324.95	69930000	25.74
324.96	79968000	28.7
324.96	90030000	31.91
324.96	100096000	35.51
324.96	110176000	39.52
324.96	120235000	44.25
324.96	130297000	49.25
324.97	137355000	53
330	158000	8.965
330.01	9831000	10.25
330.01	19834000	11.81
330.01	29845000	13.52
330.02	39868000	15.35
330.02	49896000	17.35
330.02	59935000	19.45
330.02	69987000	21.7
330.03	80034000	24.24
