T/K	    P/Pa	η/mPa·s
330.02	90083000	26.87
330.03	100146000	30.25
330.03	110224000	32.82
330.04	120301000	36.3
330.04	130355000	40.1
330.05	137405000	43.16
315.06	101000	14.41
315.07	9768000	16.64
315.07	19766000	19.28
315.08	29762000	22.1
315.08	39783000	25.17
315.07	49805000	28.64
315.08	59848000	32.46
315.08	69898000	36.6
315.09	79942000	41.4
315.09	89995000	47.08
315.08	100072000	53.23
315.09	110138000	59.82
315.09	120185000	67.07
315.08	130257000	75.04
315.09	137303000	81.09
320.02	135000	12.53
320.03	9815000	14.4
320.03	19819000	16.52
320.04	29820000	18.88
320.05	39838000	21.45
320.05	49874000	24.28
320.05	59913000	27.31
320.06	69966000	30.62
320.06	80017000	34.29
320.07	90073000	38.28
320.07	100143000	42.97
320.07	110217000	48.43
320.07	120293000	53.94
320.07	130358000	60.32
320.07	137402000	65.25
275.06	107000	86.85
279.97	116000	65.78
279.98	4793000	71.02
279.98	9781000	77.48
279.97	19788000	91.56
285.06	94000	50.09
285.08	4776000	54.38
285.07	9777000	59.49
285.07	19776000	70.94
285.07	29795000	84.65
290.02	106000	37.87
290.02	4794000	41.2
290.02	9790000	45.07
290.01	19794000	53.59
290.01	29797000	63.18
290.01	39813000	74
290.02	49841000	86.08
295.07	120000	30.55
295.08	4802000	33.17
295.08	9798000	36.1
295.07	19794000	42.88
295.07	29795000	50.09
295.07	39808000	58.26
295.07	49848000	67.51
295.07	59886000	77.67
295.07	69939000	89.12
