T/K	   P/Pa	ρ/kgm-3
270	50010000	1063.3
270	45020000	1061
270	40010000	1058.6
270	35000000	1056.2
270	30010000	1053.7
270	25020000	1051.2
270	20020000	1048.6
270	15020000	1046
270	10050000	1043.3
270	5010000	1040.4
270	4040000	1039.9
270	3010000	1039.3
270	2010000	1038.7
270	1010000	1038.1
270	530000	1037.8
290	49990000	1049.2
290	45040000	1046.7
290	40040000	1044.2
290	35020000	1041.5
290	30010000	1038.8
290	25020000	1036.1
290	20030000	1033.3
290	15050000	1030.4
290	10040000	1027.4
290	5030000	1024.4
290	4000000	1023.8
290	3040000	1023.1
290	2030000	1022.5
290	1020000	1021.9
290	510000	1021.6
310	50020000	1035
310	45040000	1032.3
310	40010000	1029.6
310	35010000	1026.7
310	30010000	1023.8
310	25010000	1020.9
310	20010000	1017.8
310	15020000	1014.7
310	10000000	1011.4
310	5050000	1008.1
310	4010000	1007.4
310	3020000	1006.7
310	2050000	1006
310	1020000	1005.3
310	530000	1005
330	50020000	1020.9
330	45030000	1018
330	40020000	1015.1
330	35010000	1012.1
330	30010000	1009
330	25010000	1005.8
330	20010000	1002.5
330	15020000	999.2
330	10030000	995.7
330	5040000	992.1
330	4020000	991.3
330	3030000	990.6
330	2010000	989.8
330	1010000	989.1
330	500000	988.7
350	50010000	1007.5
350	45030000	1004.3
350	40000000	1001.1
350	35030000	998
350	30020000	994.6
350	25020000	991.2
350	20040000	987.7
350	15020000	984.1
350	10040000	980.3
350	5040000	976.4
350	4010000	975.6
350	3020000	974.7
350	2000000	973.9
350	1020000	973.1
350	520000	972.6
370	50000000	994
370	45000000	990.7
370	40000000	987.4
370	35000000	984
370	30000000	980.5
370	25000000	976.8
370	19900000	973
370	15000000	969
370	10000000	965
370	5020000	960.7
370	4010000	959.8
370	3050000	958.9
370	2020000	958
370	1010000	957
370	510000	956.6
390	49990000	980.8
390	45020000	977.4
390	40030000	973.9
390	35020000	970.2
390	30040000	966.4
390	25010000	962.5
390	20010000	958.4
390	15030000	954.2
390	10050000	949.7
390	5020000	945
390	4020000	944
390	3020000	943
390	2030000	942.1
390	1030000	941.1
390	540000	940.6
410	50010000	968.1
410	45020000	964.4
410	40040000	960.7
410	35010000	956.7
410	30030000	952.7
410	25050000	948.5
410	20010000	944.1
410	15010000	939.4
410	10010000	934.6
410	5030000	929.5
410	4010000	928.3
410	3010000	927.3
410	2030000	926.2
410	1040000	925.1
410	510000	924.5
430	50000000	955.5
430	45010000	951.6
430	40040000	947.6
430	35030000	943.5
430	30010000	939.1
430	25020000	934.6
430	20030000	929.8
430	15030000	924.8
430	10010000	919.5
430	5040000	913.9
430	4030000	912.8
430	3010000	911.5
430	2010000	910.3
430	1030000	909.1
430	520000	908.5
450	50050000	943.2
450	45010000	939.1
450	40010000	934.8
450	35010000	930.3
450	30030000	925.7
450	25020000	920.8
450	20000000	915.6
450	15010000	910.2
450	10020000	904.5
450	5040000	898.3
450	4010000	897
450	3010000	895.7
450	2010000	894.4
450	1030000	893
450	530000	892.4
470	50030000	931
470	45010000	926.6
470	40040000	922.1
470	35020000	917.4
470	30010000	912.4
470	25010000	907.2
470	20010000	901.6
470	15020000	895.8
470	10010000	889.5
470	5020000	882.7
470	4010000	881.3
470	3010000	879.8
470	2020000	878.3
470	1030000	876.8
470	540000	876.1
