T(K)	P(Pa)	Density (kg/m3)
278.313	96432.4	889.575
278.312	543138.9	889.8
278.318	1033004.9	890.087
278.317	2001526.8	890.662
278.316	3013980.1	891.261
288.284	96047.1	882.721
288.28	494807.8	882.94
288.278	1005829.5	883.267
288.275	2005873.2	883.909
288.279	2997117.2	884.543
299.137	96265	875.354
298.318	442606	875.884
298.32	1002010.2	876.25
298.311	2006526.7	876.916
298.319	3006788.3	877.566
313.57	97600.4	865.93
313.192	515803.7	866.292
313.2	991002.2	866.608
313.199	2035458.9	867.317
313.191	3003324.3	867.974
323.139	99720.3	859.916
323.162	292136.6	859.985
323.17	1002971.1	860.473
323.151	2005555	861.18
323.171	3007616.2	861.862

