T/K	    P/Pa	η/mPa·s
440.09	120272000	5.056
440.09	130352000	5.44
440.09	137415000	5.71
450.1	29851000	2.004
450.1	39875000	2.205
450.1	49909000	2.433
450.11	59946000	2.663
450.1	69994000	2.968
450.11	80042000	3.218
450.1	90100000	3.503
450.11	100146000	3.778
450.11	110212000	4.073
450.11	120281000	4.361
450.11	130350000	4.677
450.12	137400000	4.904
