T/K	   P/Pa	ρ/kgm-3
270	29990000	1011.9
270	25010000	1009.5
270	20010000	1007
270	15010000	1004.4
270	10040000	1001.8
270	5010000	999
270	4000000	998.5
270	3010000	997.9
270	2020000	997.4
270	1020000	996.8
270	540000	996.6
290	50010000	1007.5
290	45010000	1005.1
290	40010000	1002.6
290	35030000	1000.1
290	30020000	997.5
290	25030000	994.9
290	20010000	992.2
290	15010000	989.4
290	10010000	986.6
290	5020000	983.7
290	4010000	983.1
290	3060000	982.5
290	2020000	981.9
290	1020000	981.2
290	550000	980.9
310	50030000	994.4
310	45020000	991.8
310	40030000	989.2
310	35020000	986.5
310	30020000	983.7
310	25010000	980.9
310	20010000	978
310	15010000	975
310	10010000	971.9
310	5010000	968.7
310	4020000	968.1
310	3010000	967.4
310	2030000	966.8
310	1010000	966.1
310	510000	965.8
330	50030000	981.5
330	45010000	978.8
330	39990000	976
330	35010000	973.1
330	29990000	970.1
330	25060000	967.2
330	20040000	964
330	15020000	960.8
330	9990000	957.4
330	5020000	954
330	4000000	953.3
330	3020000	952.6
330	2030000	951.9
330	1040000	951.1
330	530000	950.8
350	50020000	968.8
350	45020000	965.9
350	40020000	962.9
350	35020000	959.9
350	30030000	956.7
350	25010000	953.4
350	20030000	950.1
350	15020000	946.6
350	10020000	943
350	5030000	939.2
350	4060000	938.5
350	3030000	937.7
350	2010000	936.9
350	1020000	936.1
350	520000	935.7
370	50000000	956.2
370	45000000	953.1
370	40000000	949.9
370	35000000	946.7
370	30000000	943.3
370	25000000	939.8
370	20000000	936.2
370	15000000	932.5
370	10000000	928.5
370	5030000	924.4
370	4020000	923.6
370	3040000	922.7
370	2030000	921.9
370	1030000	921
370	530000	920.6
390	50000000	944
390	45030000	940.7
390	40030000	937.4
390	35030000	933.9
390	30020000	930.3
390	25010000	926.5
390	20010000	922.6
390	15030000	918.6
390	10030000	914.4
390	5020000	909.9
390	4040000	909
390	3030000	908.1
390	2030000	907.1
390	1010000	906.1
390	520000	905.7
410	50030000	932.2
410	45020000	928.7
410	40010000	925.1
410	35020000	921.4
410	30030000	917.6
410	25010000	913.5
410	20030000	909.4
410	15020000	905
410	10020000	900.4
410	5040000	895.5
410	4010000	894.5
410	3030000	893.5
410	2020000	892.4
410	1010000	891.4
410	530000	890.9
430	50000000	920.5
430	45030000	916.8
430	40030000	913
430	35010000	909.1
430	30030000	905
430	25010000	900.7
430	20010000	896.2
430	15020000	891.4
430	10020000	886.4
430	5030000	881.1
430	4020000	880
430	3010000	878.9
430	2020000	877.8
430	1010000	876.6
430	520000	876
450	50040000	909.1
450	45030000	905.2
450	40030000	901.1
450	35030000	896.9
450	30040000	892.5
450	25020000	887.9
450	20010000	883.1
450	14990000	877.9
450	10040000	872.5
450	5050000	866.7
450	4010000	865.5
450	3020000	864.3
450	2010000	863
450	1030000	861.7
450	530000	861.1
470	50020000	897.7
470	45020000	893.6
470	40020000	889.3
470	35040000	884.8
470	30040000	880.1
470	25010000	875.2
470	20030000	870
470	15050000	864.5
470	10030000	858.6
470	5020000	852.2
470	4020000	850.9
470	3050000	849.5
470	2040000	848.1
470	1050000	846.7
470	520000	846
