T [K]	p [Pa]	eta [mPa s]
323.34	101350	45.72
323.25	101350	45.16
333.22	101350	32.64
333.18	101350	32.37
343.16	101350	24.01
343.1	101350	23.89
353.11	101350	18.25
362.97	101350	14.51
363.01	101350	14.57
303.23	101350	101.58
314.21	101350	63.13
313.13	101350	64.43
324.2	101350	43.24
323.03	101350	42.94
