T[K]	p[Pa]	rho[kg/m3]
278.15	97240	1001.16
283.15	97240	997.22
288.15	97240	993.28
293.15	97230	989.36
298.15	97220	985.44
303.15	97230	981.53
308.15	97220	977.64
313.15	97220	973.77
318.15	97210	969.92
323.15	97220	966.08
328.15	97210	962.26
333.15	97200	958.46
338.15	97190	954.66
343.15	97190	950.88
348.15	97190	947.11
353.15	97180	943.34
358.15	97170	939.59
363.15	97170	935.84
368.15	97150	932.11
