 num;                                                              Material;     source;       CAS ID;  MM_gmol;     Tc/K;      Pc/MPa;  Dc/kgm3;  Acentric; k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm
  38;                                         Dodecamethylcyclohexasiloxane;    REFPROP;     540-97-6; 444.9240;  645.780;    0.961000;  279.096;  0.736000;    566.13575;    612.73043;    512.80000;  0.94500
  39;                                                        Diethanolamine;    REFPROP;     111-42-2; 105.1356;  736.500;    4.950750;  346.947;  1.013000;      0.00000;      0.00000;    584.85000;  0.54340
  40;                                                                Decane;    REFPROP;     124-18-5; 142.2817;  617.700;    2.103000;  233.342;  0.488400;    233.02466;    356.55962;    490.51000;  0.68600
  41;                                                         Diethyl ether;    REFPROP;      60-29-7;  74.1216;  466.700;    3.720200;  263.999;  0.290000;    120.59873;    108.93822;    370.60000;  0.53000
  42;                                                    Dimethyl carbonate;    REFPROP;     616-38-6;  90.0779;  557.000;    4.908800;  360.312;  0.346000;    106.81452;    118.94496;    442.30900;  0.51075
  43;                                                        Dimethyl ether;    REFPROP;     115-10-6;  46.0684;  400.378;    5.336850;  273.647;  0.196000;     65.82904;     54.49121;    317.93700;  0.43070
  44;                                                          Ethylbenzene;    REFPROP;     100-41-4; 106.1650;  617.120;    3.622400;  291.000;  0.305000;    127.52583;    225.40788;    490.05000;  0.57810
  45;                                                       Ethylene glycol;    REFPROP;     107-21-1;  62.0678;  719.000;   10.508700;  364.959;  0.619000;     79.86456;    157.50495;    570.95000;  0.44820
  46;                                                                Ethane;    REFPROP;      74-84-0;  30.0690;  305.322;    4.872200;  206.180;  0.099500;     52.47417;     35.87325;    245.00000;  0.43682
  47;                                                               Ethanol;    REFPROP;      64-17-5;  46.0684;  514.710;    6.268000;  273.186;  0.646000;     65.20421;     78.59782;    362.60000;  0.45300
  48;                                                              Ethylene;    REFPROP;      74-85-1;  28.0538;  282.350;    5.041800;  214.247;  0.086600;     42.85328;     24.91062;    224.70000;  0.41630
  49;                                                        Ethylene oxide;    REFPROP;      75-21-8;  44.0526;  468.920;    3.704700;  315.857;  0.210000;     47.92283;     65.81531;    372.37000;  0.42000
  50;                                                              Fluorine;    REFPROP;    7782-41-4;  37.9968;  144.414;    5.172400;  592.864;  0.044900;     31.30130;      1.71027;    112.60000;  0.33570
  51;                                                      Hydrogen sulfide;    REFPROP;    7783-06-4;  34.0809;  373.100;    9.000000;  347.284;  0.100500;     34.10846;      4.75578;    296.28000;  0.37320
  52;                                                     Hydrogen chloride;    REFPROP;    7647-01-0;  36.4609;  324.680;    8.313500;  432.791;  0.129000;     29.12818;      0.02928;    257.80000;  0.35500
  53;                                                                Helium;    REFPROP;    7440-59-7;   4.0026;    5.195;    0.228320;   69.580; -0.383600;     20.78615;      0.33438;     10.22000;  0.25510
  54;                                                               Heptane;    REFPROP;     142-82-5; 100.2020;  540.200;    2.735730;  233.471;  0.349000;    165.23823;    228.93172;    400.00000;  0.64947
  55;                                                                Hexane;    REFPROP;     110-54-3;  86.1754;  507.820;    3.044100;  233.190;  0.300000;    142.75524;    193.81116;    399.30000;  0.59490
  56;                                                              Hydrogen;    REFPROP;    1333-74-0;   2.0159;   33.145;    1.296400;   31.262; -0.219000;     28.83408;      0.90422;     59.70000;  0.28270
  57;                                                             Isobutene;    REFPROP;     115-11-7;  56.1063;  418.090;    4.009800;  233.963;  0.193000;     88.86268;     92.11788;    425.00000;  0.47760
  58;                                                             Isohexane;    REFPROP;     107-83-5;  86.1754;  497.700;    3.040000;  233.966;  0.279700;    142.25960;    194.66312;    395.20000;  0.58000
  59;                                                             Isooctane;    REFPROP;     540-84-1; 114.2285;  544.000;    2.572000;  242.165;  0.303000;    184.80736;    288.31748;    431.99000;  0.63000
  60;                                                            Isopentane;    REFPROP;      78-78-4;  72.1488;  460.350;    3.378000;  235.999;  0.227400;    118.88904;    151.79437;    365.56000;  0.54500
  61;                                                             Isobutane;    REFPROP;      75-28-5;  58.1222;  407.810;    3.629000;  225.500;  0.184000;     96.63851;    111.84119;    307.55000;  0.46445
  62;                                                               Krypton;    REFPROP;    7439-90-9;  83.7980;  209.480;    5.525000;  909.208; -0.000894;     20.78615;     -0.00000;    178.90000;  0.36550
  63;                                               Decamethyltetrasiloxane;    REFPROP;     141-62-8; 310.6854;  599.400;    1.144000;  268.432;  0.635000;    416.84805;    440.90912;    476.00000;  0.84900
