    No;           Material;      Hash;   MM_gmol;   Tr_K;         pr_MPa;     Tc_K;       pc_MPa;   Dc_kgm3; acentric;    k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm; dipom_D; gamma_uni;           xi0;     Gamma;         qDinv;      Tref;                                          FullName
   85;              OCTANE;  f174a9b0;  114.2285;   216.370;   2.07460e-06;   568.740;   2.48359;  231.9991;  0.398000;     189.05755;     269.50776;  452.0900;   0.63617;    0.0700;    1.2390;    1.9400e-10;    0.0496;    6.8628e-10;   853.980;                                            Octane
   86;            ORTHOHYD;  8d757b4b;    2.0159;    14.008;   7.56000e-03;    33.220;   1.31065;   31.1362; -0.218000;       0.00000;       0.00000;    0.0000;   0.00000;    0.0000;    1.2390;    1.5000e-10;    0.0000;    0.0000e+00;     0.000;                                     Orthohydrogen
   87;              OXYGEN;  edc36840;   31.9988;    54.361;   1.46280e-04;   154.581;   5.04300;  436.1436;  0.022200;      29.37593;       0.23479;  116.2000;   0.34319;    0.0000;    1.2415;    2.4000e-10;    0.0550;    5.1000e-10;   309.162;                                            Oxygen
   88;             OXYLENE;  32008e80;  106.1650;   247.985;   2.28000e-05;   630.259;   3.73750;  284.9999;  0.312000;     131.34292;     220.34746;  500.4800;   0.58200;    0.6300;    1.2390;    2.3600e-10;    0.0580;    7.1100e-10;   945.400;                               1,2-Dimethylbenzene
   89;             PARAHYD;  8d757b4a;    2.0159;    13.803;   7.04100e-03;    32.938;   1.28580;   31.3227; -0.219000;      29.94532;       1.02193;   59.7000;   0.28270;    0.0000;    1.2415;    1.5000e-10;    0.0520;    5.0000e-10;    49.407;                                      Parahydrogen
   90;             PENTANE;  76bc0290;   72.1488;   143.470;   7.80280e-08;   469.700;   3.36750;  231.5976;  0.251000;     120.12675;     148.14506;  349.4400;   0.57900;    0.0700;    1.2390;    2.2700e-10;    0.0580;    6.6800e-10;   704.550;                                           Pentane
   91;                POE5;          ;  472.6120;   250.000;   1.00000e-18;   890.000;   1.27000;  262.7723;  0.890000;     597.85711;    1124.31659;  706.7418;   0.98380;   -1.0000;    1.2390;    3.4300e-10;    0.0820;    1.2180e-09;  1335.000;                   pentaerythritol tetrapentanoate
   92;                POE7;          ;  584.8350;   250.000;   1.00000e-18;   940.000;   1.03000;  240.9520;  1.060000;     790.17028;    2055.40077;  746.4464;   1.08719;   -1.0000;    1.2390;    3.6700e-10;    0.0900;    1.3490e-09;  1410.000;                   pentaerythritol tetraheptanoate
   93;                POE9;          ;  697.0510;   250.000;   1.00000e-18;   970.000;   0.88500;  220.2681;  0.998000;     978.60973;    2899.61757;  770.2692;   1.18770;   -1.0000;    1.2390;    4.0500e-10;    0.0960;    1.4760e-09;  1455.000;                    pentaerythritol tetranonanoate
   94;          PROPADIENE;  46c6b6e0;   40.0639;   136.650;   1.83430e-05;   398.000;   5.21560;  236.3768;  0.115000;      58.92854;      53.11456;  316.0000;   0.44770;    0.2000;    1.2390;    1.9500e-10;    0.0550;    5.4100e-10;   597.000;                                    1,2-Propadiene
