 num;                                                              Material;     source;       CAS ID;  MM_gmol;     Tc/K;      Pc/MPa;  Dc/kgm3;  Acentric; k0_cp0_JmolK; k1_cp0_JmolK; epsilon_kB_K; sigma_nm
  43;                                            1-methyl-3-n-propylbenzene;    ChemSep;    1074-43-7; 134.2182;  656.000;    2.860000;  278.461;  0.412785;      0.00000;      0.00000;      0.00000;  0.00000
  44;                                            1-methyl-4-n-propylbenzene;    ChemSep;    1074-55-1; 134.2182;  658.000;    2.860000;  278.461;  0.413441;      0.00000;      0.00000;      0.00000;  0.00000
  45;                                                        1-methylindene;    ChemSep;     767-59-9; 130.1864;  703.000;    3.460000;  298.593;  0.334861;      0.00000;      0.00000;      0.00000;  0.00000
  46;                                                         1-nitrobutane;    ChemSep;     627-05-4; 103.1198;  623.000;    3.600000;  305.088;  0.454584;      0.00000;      0.00000;      0.00000;  0.00000
  47;                                                        1-nitropropane;    ChemSep;     108-03-2;  89.0932;  605.000;    4.350000;  309.351;  0.412773;      0.00000;      0.00000;      0.00000;  0.00000
  48;                                                         1-nonadecanol;    ChemSep;    1454-84-8; 284.5203;  795.000;    1.142842;  255.556;  0.860000;      0.00000;      0.00000;      0.00000;  0.00000
  49;                                                             1-nonanol;    ChemSep;     143-08-8; 144.2550;  670.900;    2.527000;  250.443;  0.584074;      0.00000;      0.00000;      0.00000;  0.00000
  50;                                                              1-nonene;    ChemSep;     124-11-8; 126.2392;  594.000;    2.330000;  239.999;  0.411000;      0.00000;      0.00000;      0.00000;  0.00000
  51;                                                         1-octadecanol;    ChemSep;     112-92-5; 270.4940;  786.000;    1.230000;  258.599;  0.832224;      0.00000;      0.00000;      0.00000;  0.00000
  52;                                                          1-octadecene;    ChemSep;     112-88-9; 252.4784;  739.260;    1.140000;  218.975;  0.806600;      0.00000;      0.00000;      0.00000;  0.00000
  53;                                                             1-octanol;    ChemSep;     111-87-5; 130.2280;  652.300;    2.783000;  255.851;  0.569694;      0.00000;      0.00000;      0.00000;  0.00000
  54;                                                              1-octene;    ChemSep;     111-66-0; 112.2126;  567.000;    2.680000;  239.770;  0.393000;      0.00000;      0.00000;      0.00000;  0.00000
  55;                                                          1-octylamine;       USER;     111-86-4; 129.2400;  641.000;    2.617000;  249.440;  0.679800;      0.00000;      0.00000;      0.00000;  0.00000
  56;                                                        1-pentadecanol;    ChemSep;     629-76-5; 228.4140;  757.300;    1.569000;  226.153;  0.750675;      0.00000;      0.00000;      0.00000;  0.00000
  57;                                                            1-pentanol;    ChemSep;      71-41-0;  88.1482;  588.150;    3.909000;  270.393;  0.579000;      0.00000;      0.00000;      0.00000;  0.00000
  58;                                                   1-phenylnaphthalene;    ChemSep;     605-02-7; 204.2665;  849.000;    2.630000;  311.382;  0.530878;      0.00000;      0.00000;      0.00000;  0.00000
  59;                                                        1-tetradecanol;    ChemSep;     112-72-1; 214.3870;  738.700;    1.680000;  259.548;  0.716811;      0.00000;      0.00000;      0.00000;  0.00000
  60;                                                         1-tetradecene;    ChemSep;    1120-36-1; 196.3721;  691.000;    1.627000;  227.020;  0.650303;      0.00000;      0.00000;      0.00000;  0.00000
  61;                                                          1-tridecanol;    ChemSep;     112-70-9; 200.3610;  732.400;    1.810000;  232.978;  0.712000;      0.00000;      0.00000;      0.00000;  0.00000
  62;                                                           1-undecanol;    ChemSep;     112-42-5; 172.3080;  703.900;    2.119000;  240.990;  0.623622;      0.00000;      0.00000;      0.00000;  0.00000
  63;                                                            1-undecene;    ChemSep;     821-95-4; 154.2924;  637.800;    2.044000;  234.844;  0.522466;      0.00000;      0.00000;      0.00000;  0.00000
  65;                                             2,2,3,3-tetramethylbutane;    ChemSep;     594-82-1; 114.2285;  567.800;    2.870000;  236.989;  0.248000;      0.00000;      0.00000;      0.00000;  0.00000
  66;                                            2,2,3,3-tetramethylpentane;    ChemSep;    7154-79-2; 128.2551;  607.600;    2.740000;  268.316;  0.304000;      0.00000;      0.00000;      0.00000;  0.00000
  67;                                            2,2,3,4-tetramethylpentane;    ChemSep;    1186-53-4; 128.2551;  592.700;    2.530000;  261.745;  0.301000;      0.00000;      0.00000;      0.00000;  0.00000
  68;                                                 2,2,3-trimethylbutane;    ChemSep;     464-06-2; 100.2020;  531.100;    2.950000;  252.017;  0.250000;      0.00000;      0.00000;      0.00000;  0.00000
  69;                                                2,2,3-trimethylpentane;    ChemSep;     564-02-3; 114.2285;  563.400;    2.730000;  261.992;  0.298000;      0.00000;      0.00000;      0.00000;  0.00000
  70;                                       2,2,4,4,6,8,8-Heptamethylnonane;       USER;    4390-04-9; 226.4400;  691.947;    1.570000;  253.857;  0.473200;      0.00000;      0.00000;      0.00000;  0.00000
  71;                                            2,2,4,4-tetramethylpentane;    ChemSep;    1070-87-7; 128.2551;  571.350;    2.360870;  254.474;  0.313609;      0.00000;      0.00000;      0.00000;  0.00000
  72;                                                 2,2,5-trimethylhexane;    ChemSep;    3522-94-9; 128.2551;  568.050;    2.330000;  247.120;  0.357100;      0.00000;      0.00000;      0.00000;  0.00000
  74;                                       2,2-bis(4-hydroxyphenyl)propane;    ChemSep;      80-05-7; 228.2863;  849.000;    2.937170;  337.203;  0.945495;      0.00000;      0.00000;      0.00000;  0.00000
  75;                                               2,2-dimethyl-1-propanol;    ChemSep;      75-84-3;  88.1482;  552.700;    4.078000;  269.566;  0.595013;      0.00000;      0.00000;      0.00000;  0.00000
  76;                                                   2,2-dimethylheptane;    ChemSep;    1071-26-7; 128.2551;  577.800;    2.350000;  244.295;  0.383000;      0.00000;      0.00000;      0.00000;  0.00000
  77;                                                    2,2-dimethylhexane;    ChemSep;     590-73-8; 114.2285;  549.800;    2.530000;  238.972;  0.339000;      0.00000;      0.00000;      0.00000;  0.00000
  78;                                                    2,2-dimethyloctane;    ChemSep;   15869-87-1; 142.2817;  602.400;    2.110000;  241.278;  0.428759;      0.00000;      0.00000;      0.00000;  0.00000
  79;                                                   2,2-dimethylpentane;    ChemSep;     590-35-2; 100.2020;  520.400;    2.770000;  240.986;  0.287000;      0.00000;      0.00000;      0.00000;  0.00000
  80;                                            2,3,3,4-tetramethylpentane;    ChemSep;   16747-38-9; 128.2551;  607.100;    2.670000;  260.152;  0.313000;      0.00000;      0.00000;      0.00000;  0.00000
  81;                                                2,3,3-Trimethylpentane;    ChemSep;     560-21-4; 114.2285;  573.500;    2.820000;  250.996;  0.291000;      0.00000;      0.00000;      0.00000;  0.00000
  82;                                                2,3,4-Trimethylpentane;    ChemSep;     565-75-3; 114.2285;  566.300;    2.730000;  250.391;  0.316000;      0.00000;      0.00000;      0.00000;  0.00000
  84;                                                    2,3-dimethylhexane;    ChemSep;     584-94-1; 114.2285;  563.400;    2.630000;  243.974;  0.347000;      0.00000;      0.00000;      0.00000;  0.00000
  85;                                                   2,3-dimethylpentane;    ChemSep;     565-59-3; 100.2020;  537.300;    2.910000;  254.967;  0.297000;      0.00000;      0.00000;      0.00000;  0.00000
  86;                                                           2,3-xylenol;    ChemSep;     526-75-0; 122.1640;  722.850;    4.863600;  259.923;  0.515728;      0.00000;      0.00000;      0.00000;  0.00000
  87;                                                 2,4,4-trimethylhexane;    ChemSep;   16747-30-1; 128.2551;  583.000;    2.500000;  251.975;  0.352203;      0.00000;      0.00000;      0.00000;  0.00000
  88;                                                 2,4,6-trinitrotoluene;    ChemSep;     118-96-7; 227.1311;  795.000;    3.040000;  473.190;  0.897249;      0.00000;      0.00000;      0.00000;  0.00000
  89;                                                    2,4-dimethylhexane;    ChemSep;     589-43-5; 114.2285;  553.500;    2.560000;  242.010;  0.344000;      0.00000;      0.00000;      0.00000;  0.00000
  90;                                                   2,4-dimethylpentane;    ChemSep;     108-08-7; 100.2020;  519.700;    2.740000;  240.005;  0.304000;      0.00000;      0.00000;      0.00000;  0.00000
  91;                                                    2,4-dinitrotoluene;    ChemSep;     121-14-2; 182.1335;  814.000;    3.400000;  373.991;  0.712571;      0.00000;      0.00000;      0.00000;  0.00000
  92;                                                           2,4-xylenol;    ChemSep;     105-67-9; 122.1640;  707.550;    4.356980;  239.537;  0.513603;      0.00000;      0.00000;      0.00000;  0.00000
  93;                                                    2,5-dimethylhexane;    ChemSep;     592-13-2; 114.2285;  550.000;    2.490000;  236.989;  0.357000;      0.00000;      0.00000;      0.00000;  0.00000
  94;                                                    2,5-dinitrotoluene;    ChemSep;     619-15-8; 182.1335;  814.000;    3.400000;  373.991;  0.712285;      0.00000;      0.00000;      0.00000;  0.00000
  95;                                                           2,5-xylenol;    ChemSep;      95-87-4; 122.1640;  723.050;    4.863600;  259.923;  0.563781;      0.00000;      0.00000;      0.00000;  0.00000
  96;                                                    2,6-dinitrotoluene;    ChemSep;     606-20-2; 182.1335;  780.000;    3.400000;  373.991;  0.714206;      0.00000;      0.00000;      0.00000;  0.00000
  97;                                                           2,6-xylenol;    ChemSep;     576-26-1; 122.1640;  700.950;    4.255650;  234.931;  0.455406;      0.00000;      0.00000;      0.00000;  0.00000
  99;                                                 2-Diethylaminoethanol;    ChemSep;     100-37-8; 117.1894;  616.000;    2.650000;  276.978;  0.781757;      0.00000;      0.00000;      0.00000;  0.00000
 100;                                                 2-Hydroxybenzoic acid;    ChemSep;      69-72-7; 138.1207;  739.000;    5.180000;  379.452;  0.851182;      0.00000;      0.00000;      0.00000;  0.00000
 101;                                                2-Methylpentadec-1-ene;    ChemSep;   29833-69-0; 224.4253;  714.872;    1.333998;  247.524;  0.725476;      0.00000;      0.00000;      0.00000;  0.00000
 102;                                                             2-butanol;    ChemSep;      78-92-2;  74.1216;  536.050;    4.179000;  275.545;  0.574000;      0.00000;      0.00000;      0.00000;  0.00000
