T[K]	p[Pa]	rho[kg/m3]
253.15	100000.00	978.1818182
263.15	100000.00	967.6258993
273.15	100000.00	960.7142857
283.15	100000.00	950.5300353
293.15	100000.00	947.1830986
303.15	100000.00	934.0277778
313.15	100000.00	927.5862069
323.15	100000.00	914.9659864
333.15	100000.00	908.7837838
338.15	100000.00	902.6845638
