T [K]	p [Pa]	eta [mPa s]
325.083	10000	35.326
335.547	10000	23.803
341.325	10000	19.175
353.096	10000	12.116
346.141	10000	16.356
336.071	10000	23.266
324.856	10000	36.492
314.409	10000	57.758
313.37	10000	60.818
303.265	10000	103.636
293.084	10000	188.656
293.084	10000	188.656
282.794	10000	399.957
281.784	10000	431.968
302.361	10000	109.31
325.276	10000	36.173
334.165	10000	25.333
